condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D1,0,Z0-south,19,4,1.016812508275839,0.016812508275839022,0.022269596882488387,0.19655045125906037,0.2786399528440879,1.0806590834851279e-05,0.021790339513437923,0,0
D1,0,Z0-south,20,0,0.7417405786381474,0.25825942136185265,0.09284065244314306,0.5791466614751601,3.443256763634168,0.00018781936359445924,0.021790339513437923,0,0
D1,0,Z0-south,21,1,0.6600833830185441,0.3399166169814559,0.12013558666185187,0.771324618635518,4.277437348662913,0.0003144903646363638,0.021790339513437923,0,0
D1,0,Z0-south,22,2,0.8629869348078573,0.13701306519214274,0.05888922590023217,0.4098271690659904,1.8322749099123565,7.556761021467834e-05,0.021790339513437923,0,0
D1,0,Z0-south,23,3,0.5192470772197161,0.4807529227802839,0.16328369179029184,1.0397614979097165,5.854115544171312,0.0005809645316209501,0.021790339513437923,0,0
D1,0,Z0-south,24,4,1.0172420328063025,0.017242032806302543,0.022315309222141692,0.19671955605131577,0.2831804782710722,1.0851001298096826e-05,0.021790339513437923,0,0
D1,0,Z0-south,25,0,0.7402290137952157,0.25977098620478434,0.09333470493523748,0.5822751221553077,3.4607454276158354,0.000189823647723338,0.021790339513437923,0,0
D1,0,Z0-south,26,1,0.6568101547079169,0.3431898452920831,0.12118507516603116,0.777995869681059,4.314902725153128,0.00032000905706696276,0.021790339513437923,0,0
D1,0,Z0-south,27,2,0.8643638980619928,0.13563610193800724,0.05844978987221322,0.4071901895947591,1.8149834238691387,7.444403513396543e-05,0.021790339513437923,0,0
D1,0,Z0-south,28,3,0.5148254323510738,0.4851745676489262,0.16461410803583432,1.0482748869072354,5.902622841725983,0.0005904703615277901,0.021790339513437923,0,0
D1,0,Z0-south,29,4,1.0157467936197215,0.015746793619721533,0.02216125353063895,0.19615546856153387,0.2676162349139938,1.0701696776126124e-05,0.021790339513437923,0,0
D1,0,Z0-south,30,0,0.7403443114324277,0.25965568856757226,0.09329702731506638,0.5820365100764928,3.459411670216554,0.00018967042155280193,0.021790339513437923,0,0
D1,0,Z0-south,31,1,0.6590305451978706,0.34096945480212937,0.12047332324884076,0.7734714382145337,4.289493282464347,0.00031626110062003647,0.021790339513437923,0,0
D1,0,Z0-south,32,2,0.8640811242308026,0.13591887576919737,0.05854000390376835,0.40773140010218767,1.8185352756288045,7.467401301267375e-05,0.021790339513437923,0,0
D1,0,Z0-south,33,3,0.5131705342492872,0.48682946575071284,0.1651114073513195,1.0514573387410306,5.920760084153135,0.00059404337302943,0.021790339513437923,0,0
