group,repeat,depth_repeat,theta_hat,theta_abs_error,test_complex_nrmse,test_amplitude_rms_db,test_phase_rms_deg,theta_ci_covers_truth
SIM-A,78,,0.9966309495447879,0.003369050455212075,0.0005875196602203213,0.0028707043997472825,0.026885946822531412,1
SIM-A,79,,0.998400686549931,0.0015993134500690287,0.00027911689806868484,0.0013638592697373844,0.012773217647978985,1
SIM-A,80,,0.9964086712670667,0.00359132873293333,0.0006262210327620231,0.0030597897612896136,0.028656896592330443,1
SIM-A,81,,1.006024272912752,0.006024272912751982,0.0010549047995759364,0.005155596558325323,0.04828075456110059,1
SIM-A,82,,1.0028262607738987,0.0028262607738986922,0.0004942079634455474,0.0024151240141941613,0.022617850995068463,1
SIM-A,83,,1.0018281170298455,0.001828117029845533,0.0003195294219217001,0.0015614560339413132,0.014623332622298313,1
SIM-A,84,,0.9974536569113669,0.0025463430886331073,0.0004442104352638139,0.0021705151214123602,0.0203281070388273,1
SIM-A,85,,1.00109199420839,0.0010919942083900125,0.00019080362446576615,0.0009323902023400435,0.00873207781534411,1
SIM-A,86,,0.9979808094367109,0.0020191905632891416,0.00035233008332773944,0.0017215870160956841,0.016123571747217107,1
SIM-A,87,,1.0002356384178221,0.00023563841782214823,4.1157489737959115e-05,0.00020111802594826783,0.0018835387212288873,1
SIM-A,88,,0.9987583158719736,0.001241684128026388,0.00021673643207488377,0.0010590560290787315,0.00991855385273507,1
SIM-A,89,,1.0030513380863963,0.003051338086396349,0.0005336184470689774,0.0026077322228739023,0.024421582434576528,1
SIM-A,90,,1.003847496461459,0.003847496461458988,0.0006730864404407115,0.003289362919619764,0.0308048163116572,1
SIM-A,91,,0.9954136607087799,0.004586339291220098,0.0007993719434857384,0.003905740749473203,0.036580024957097224,1
SIM-A,92,,0.9964686119879196,0.0035313880120804164,0.000615785362965203,0.003008803828549319,0.02817936825650249,1
SIM-A,93,,0.9994584507104436,0.0005415492895564089,9.455672236994277e-05,0.0004620473964287178,0.004327262470619648,1
SIM-A,94,,1.0001108305812418,0.00011083058124183864,1.935702292623456e-05,9.458872904256381e-05,0.0008858566761684464,1
SIM-A,95,,0.9967483206973156,0.0032516793026844404,0.0005670808540891759,0.0027708447094492348,0.025950675517980387,1
SIM-A,96,,1.0046810345770254,0.0046810345770254,0.000819207161622345,0.0040035387477907166,0.037492683730027176,1
SIM-A,97,,1.0044111960912612,0.004411196091261171,0.0007718922652693084,0.003772280199149258,0.03532708964872325,1
SIM-A,98,,1.006829755192614,0.006829755192613973,0.0011963761854962348,0.005847130756813073,0.05475619844859648,0
SIM-A,99,,1.0021401292775103,0.002140129277510283,0.0003741161517266705,0.0018282210953023236,0.01712158136205608,1
SIM-A,100,,0.9977804089086483,0.0022195910913517247,0.0003872640238406222,0.0018922757541741302,0.01772219094227644,1
SIM-A,101,,1.000249639844354,0.00024963984435411035,4.3603299777231856e-05,0.0002130696640115223,0.001995469609076032,1
SIM-A,102,,0.9982011260463122,0.0017988739536878295,0.0003139172581630744,0.0015338985330248635,0.014365743716602533,1
SIM-A,103,,1.0020145821127127,0.0020145821127126595,0.0003521497992087297,0.0017208711419866908,0.016116253590829365,1
SIM-A,104,,0.9987649763512335,0.0012350236487664867,0.0002155744738744123,0.0010533784253166526,0.009865379872925163,1
SIM-A,105,,0.9940800824651572,0.005919917534842778,0.0010312028560050667,0.005038326553905724,0.04718788684153736,1
SIM-A,106,,1.0043483626757639,0.004348362675763884,0.0007608763363063545,0.0037184387006200686,0.03482289487785536,1
SIM-A,107,,1.0026401614042206,0.002640161404220631,0.000461628312747428,0.002255901364134955,0.021126760272197023,1
SIM-A,108,,0.9992579923352725,0.0007420076647275398,0.00012954616133070595,0.0006330188212227708,0.005928490414783872,1
SIM-A,109,,0.9961873410929218,0.003812658907078159,0.0006647498186551956,0.003248030135077174,0.030419937164274578,1
SIM-A,110,,0.9968537041904634,0.0031462958095366256,0.0005487277616735455,0.002681174947236476,0.025110842812056722,1
SIM-A,111,,0.9986377904782928,0.0013622095217071806,0.00023776159200066219,0.001161789655655009,0.01088071355524421,1
SIM-A,112,,1.002825940245299,0.00282594024529903,0.0004941518452388035,0.0024148497530492863,0.022615282595758006,1
SIM-A,113,,1.0034939404857166,0.0034939404857166068,0.0006111397956596171,0.002986603673408166,0.027969597213665067,1
SIM-A,114,,0.9993733790785807,0.0006266209214192964,0.00010940648671947573,0.0005346090686868727,0.005006836022282223,1
SIM-A,115,,0.9998759202855638,0.00012407971443617605,2.1668801649342275e-05,0.00010588472039645499,0.0009916498017932096,1
SIM-A,116,,0.9994529213884683,0.0005470786115316928,9.552193247876988e-05,0.00046676379381656156,0.004371433677649017,1
SIM-A,117,,0.9939790966843942,0.006020903315605786,0.0010487472908583644,0.005124035625324526,0.04799064792082369,1
